time_published,description,hashtags,video_url,username,nickname,music_title,music_link,likes,comments,shares
,Đang tập làm gơ public màa 😞💔,"['#fide', '#fidé', '#aobotbien']",https://www.tiktok.com/@phiyenkhongphaiphiin/video/7525701047969467656,phiyenkhongphaiphiin,tươii tắn xink xắn :>,som original - GOIN Músicas em Alta,/music/som-original-7510232687983774469?lang=eng,387200.0,1775.0,14200.0
,in Cairo,"['#이집트', '#이집트여행', '#이집트여행기', '#이집트여행중', '#이집트여행지', '#이집트여행사진', '#이집트여행스타그램', '#Egypt', '#EgyptTravel', '#TravelEgypt', '#VisitEgypt', '#DiscoverEgypt', '#EgyptTrip', '#EgyptTourism', '#hariwon']",https://www.tiktok.com/@hariwonday/video/7537231701492239624,hariwonday,Hari Won(원하리),오리지널 사운드  - i-dle (아이들),/music/오리지널-사운드-i-dle-아이들-7514969601155894033?lang=eng,12900.0,94.0,103.0
,Bao năm tháng bon chen nay ghé thăm em,"['#nhaccover', '#motbannhacduoccover', '#nhactamtrang', '#lyrics', '#nhachaymoingay', '#nhacnaychillphet', '#chomchomlyquapha']",https://www.tiktok.com/@genznghegi04/video/7536054185515666696,genznghegi04,Gen Z nghe gì?,nhạc nền  - Trần Hà 🇻🇳,/music/nhạc-nền-Trần-Hà-🇻🇳-7534338305492634369?lang=eng,23900.0,449.0,460.0
,Lấy cây kim may đồ hen,['#fyp'],https://www.tiktok.com/@biu.kiu6/video/7536737682018323719,biu.kiu6,Biêu kiều 💕🥰,nhạc nền  - Tuấn Kiệt,/music/nhạc-nền-Tuấn-Kiệt-7532377940475792145?lang=eng,23500.0,311.0,264.0
,Chẳng trao nhau câu biệt ly 😔🌷,"['#duyênkendy', '#nh4tentertainment', '#thayduyendoiphanremixduyenkendy', '#thayduyendoiphan', '#LearnOnTikTok']",https://www.tiktok.com/@duyenkendy.official/video/7531556553715879185,duyenkendy.official,Duyên Kendy,Thay Duyên Đổi Phận Remix - Duyên Kendy,/music/Thay-Duyên-Đổi-Phận-Remix-7531556786323622672?lang=eng,70900.0,563.0,660.0
,🍅잘 들어보면 토마토라고 들림,"['#브라질', '#노래', '#펑크', '#phonk', '#mcstaff', '#nakama', '#mentema', '#coversong', '#brasil🇧🇷', '#fyp']",https://www.tiktok.com/@gihooobang/video/7536510361944460551,gihooobang,Gihooobang,오리지널 사운드  - Gihooobang,/music/오리지널-사운드-Gihooobang-7536510382165723921?lang=eng,167400.0,4132.0,9049.0
,Bay hơn 1000km để nói “happy birthday em”,"['#trending', '#fyp']",https://www.tiktok.com/@trannhattan4/video/7537111746440367368,trannhattan4,Trần Nhật Tân,nhạc nền  - 𝑾𝒂𝒏𝒈𝒍𝒆𝒆,/music/nhạc-nền-𝑾𝒂𝒏𝒈𝒍𝒆𝒆-7532333316763798289?lang=eng,87400.0,396.0,818.0
,Bao năm tháng bon chen nay ghé thăm em sao không thấy chôm chôm cô gái xưa quen,"['#Domusic', '#phemusic']",https://www.tiktok.com/@phemusic_0/video/7535848443504364818,phemusic_0,Phê music,nhạc nền  - Trần Hà 🇻🇳,/music/nhạc-nền-Trần-Hà-🇻🇳-7534338305492634369?lang=eng,23000.0,594.0,470.0
,Nhạc này còn xh hong dạ 🥰,['#congchua❤️'],https://www.tiktok.com/@congchua1999x/video/7528320779801480456,congchua1999x,Công chúa ❤️,nhạc nền - Park po gum🚩 - K⚡️,/music/nhạc-nền-Park-po-gum🚩-7514935455562615569?lang=eng,31000.0,441.0,303.0
,mấy anh chị làm,['#trend'],https://www.tiktok.com/@ongtrinhvan2/video/7533089286099455240,ongtrinhvan2,Ông Trịnh Văn.,nhạc nền  - Chàng Chồng Ngố,/music/nhạc-nền-Chàng-Chồng-Ngố-7525050286684359440?lang=eng,65300.0,1080.0,6144.0
