time_published,description,hashtags,video_url,username,nickname,music_title,music_link,likes,comments,shares,crawl_date
05-07-2025,z chứ khoái lắm=)),"['#xh', '#couple', '#love', '#xuhuong']",https://www.tiktok.com/@emvadangw/video/7523465397090127122,emvadangw,Ngọt và Đắng,nhạc gì cưng thế - chất liệu meo meo,/music/nhạc-gì-cưng-thế-7480428802519796481,134200.0,1410.0,32800.0,2025-07-22
18-07-2025,"“ Ánh nhìn ấy, cả đời này, chỉ anh thôi nhé.! “",[],https://www.tiktok.com/@thayvuong.1010/video/7528252303468465415,thayvuong.1010,Thầy Vương,tát nước đầu đình - capcut của Tôi Yêu Ems!!!,/music/tát-nước-đầu-đình-7449295197701229313,142300.0,1032.0,2188.0,2025-07-22
12-07-2025,Cưới thôi…,"['#nhamainhan', '#nhandaily']",https://www.tiktok.com/@nhandaily99/video/7525992804368289032,nhandaily99,Mai Nhân Daily,nhạc nền - thànhtrung - DoThanhTrung,/music/nhạc-nền-thànhtrung-7504907985584392961,64900.00000000001,169.0,2340.0,2025-07-22
13-07-2025,Dạy không đó,['#xuhuongtiktok'],https://www.tiktok.com/@loitran1808/video/7526623261547875602,loitran1808,Trần Lợi,nhạc nền - ah tệ quá - .,/music/nhạc-nền-ah-tệ-quá-7524320880395045633,129900.0,3559.0,40400.0,2025-07-22
13-07-2025,"Được ôm em ngủ mỗi tối , là điều bình yên nhất mà anh có ❤️","['#anhchongmamxoi', '#vochong', '#hanhphuc', '#giadinh', '#tinhcam']",https://www.tiktok.com/@anhchongmamxoi/video/7526419519493983504,anhchongmamxoi,Anh Chồng Mâm Xôi,nhạc nền  - Anh Chồng Mâm Xôi,/music/nhạc-nền-Anh-Chồng-Mâm-Xôi-7526419560468187921,98800.0,2539.0,16800.0,2025-07-22
16-07-2025,Người đẹp này vừa dự chung sự kiện với Lee Min Ho. Cô đang được xem là fan girl hạnh phúc nhất hiện tại,"['#huyenbaby', '#tiktokgiaitri', '#news', '#amm']",https://www.tiktok.com/@kenh14official/video/7527214087445449985,kenh14official,Kenh14.vn,Cùng Thổi Bay Cô Vy (Instrumental) - P336 Band & O2O GirlBand & MCV Music & K14,/music/Cùng-Thổi-Bay-Cô-Vy-Instrumental-7494259432605485072,578200.0,2060.0,10000.0,2025-07-22
14-07-2025,Hot: Chỉ vài câu bâng quơ Bắp Kimochi khiến netizen réo tên Trà Bông liên tục,"['#17network', '#17showbiz', '#17trending', '#17news', '#bapkimochi', '#trabong']",https://www.tiktok.com/@17showbiz.official/video/7527046332033305878,17showbiz.official,17 Showbiz,nhạc nền  - 17 Showbiz,/music/nhạc-nền-17-Showbiz-7527046315482663702,201400.0,1052.0,15100.0,2025-07-22
16-07-2025,Quá khứ Phương Ly,"['#tintuc', '#showbiz', '#phuongly']",https://www.tiktok.com/@vmax.soishowbiz/video/7527249952955813138,vmax.soishowbiz,VMAX SOI SHOWBIZ,nhạc nền  - VMAX SOI SHOWBIZ,/music/nhạc-nền-VMAX-SOI-SHOWBIZ-7527249994199894785,143800.0,676.0,3743.0,2025-07-22
17-07-2025,"Chữ ""Thương "" diễn tả sao hết đây","['#Jack', '#J97', '#1204', '#munmun1610', '#💜', '#congbangchojack']",https://www.tiktok.com/@_mun_mun_1610_/video/7527562259837504786,_mun_mun_1610_,🌻𝓜𝓾𝓷𝓷🌻,Vực Thẳm Của Bình Yên - Jack - J97,/music/Vực-Thẳm-Của-Bình-Yên-7519878645326859024,437800.0,5381.0,64800.0,2025-07-22
17-07-2025,Phương Mỹ Chi dừng chân tại Quý Quân chung kết Sing Asia,"['#DREAMeRMedia', '#HongGiDangDo', '#PhuongMyChi', '#SingAsia', '#gionghatmoichaua', '#phuongmychisingasia', '#chungketsingasia', '#tiktokgiaitri']",https://www.tiktok.com/@honggidangdo/video/7527871842820885778,honggidangdo,Hóng gì Đăng đó,DREAMeR - Luny,/music/DREAMeR-7473802600660387841,319200.0,2693.0,5266.0,2025-07-22
