username,avatar_url,content,likes,timestamp,parent_comment,video_url
@sauiuanh_?lang=en,,để ngt tự trải nghiệm tự rút ra bài học đi mấy ba🥰🥰 vào chi mệt dữ v,4297,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@hwianhh?lang=en,,đọc phốt xong hiểu ngay cng liền :))),9155,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@nghadlong09?lang=en,,ngt yêu hay chm yêu??,704,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@miyunhoah?lang=en,,Duyên ơi chạy đi còn kịp😭,6850,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@ngtoanh.28?lang=en,,tội cho cô gái ấy🥰,3327,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@hotrng440?lang=en,,Lướt xuống thấy Kỳ Duyên,3,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@dye6zogygiyp?lang=en,,"đừng chia tay nhe , mắc công khổ người ta",771,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@mt.o8o?lang=en,,nhìn cái mặt th đủ hiểu,715,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@fanmessi2k128?lang=en,,tim để gia đình mạnh khỏe 🍀🍀,280,6d ago,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
@tpann_?lang=en,,sao bà Duyên bả còn quen được hay vậy 😭,220,7-7,,https://www.tiktok.com/@nhanvuatovuadz1701/video/7524221447611419911
