crawl_date,video_url,username,nickname,short_description,music_title,video_likes,video_comments,video_shares,total_engagement,rank_by_date,total_comments,positive_comments,negative_comments,neutral_comments,positive_pct,negative_pct,neutral_pct,total_comment_likes,avg_comment_likes,sentiment_score
2025-07-23,https://www.tiktok.com/@agrobarbara/video/7527086579177901368,agrobarbara,agrobarbara,Parte 2 da brincadeira do prego,som original - melhorrisada,1900000,13600,76400,1990000,10,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@cecepjiaa/video/7522841069621431608,cecepjiaa,Cecepjia.vid,Broo aura farming☠️🌊,original sound - 𝖍𝖆𝖑𝖑𝖔𝖜,9700000,17800,558900,10276700,3,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@dvolchenko08/video/7527751737021713670,dvolchenko08,Даша,Мавпа сама сказала тягнути за хвоста❗️❗️❗️. Діти не винні. По закривайте свої злі роти 👄,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,11300000,54100,3300000,14654100,1,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@fiqblink/video/7526917304177741063,fiqblink,₄₀₄ₑᵣᵣₒᵣ,💆🏻‍♂️,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,7700000,50300,5000000,12750300,2,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@gulkhanabukhan/video/7526142718343433478,gulkhanabukhan,Gulkhan Abukhan,Звук топ 🤣🙏🏻,оригинальный звук - Zangar,6100000,9006,186200,6295206,6,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@lensa.rams/video/7516546879522458888,lensa.rams,Lensa Rams,RITUAL SANG PAWANG,suara asli  - Amii15❤️‍🔥❤️‍🔥,2900000,11800,29500,2941300,8,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@letuankhang2002/video/7527258883841101073,letuankhang2002,Lê Tuấn Khang,Tập cuối.,nhạc nền  - Lê Tuấn Khang,3400000,46500,368400,3814900,7,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@mikaylaallisonn/video/7525995255351594271,mikaylaallisonn,Mikayla Reno,10/10 experience,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,5300000,39700,2100000,7439700,5,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@strawb1017/video/7527461232580775175,strawb1017,Ab 🦋,amppp 😐😐😂😂,Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧,7100000,15800,342600,7458400,4,0,0,0,0,,,,0.0,0.0,0
2025-07-23,https://www.tiktok.com/@vuhoangphuongnam/video/7527106795391765767,vuhoangphuongnam,Vũ Hoàng Phương Nam,Không niết thành phẩm như nào chứ thấy chuyên nghiệp phết,nhạc nền  - paullummeme,2400000,5510,75100,2480610,9,0,0,0,0,,,,0.0,0.0,0
