author,time_published,description,hashtags,music,engagement,video_url
"{'username': 'duongaivy07', 'nickname': '𝐃𝐮̛𝐨̛𝐧𝐠 𝐀́𝐢 𝐕𝐲'}",,Hát  dị giống bản gốc hông cả nhà,"['@Dương Ái Vy', '@𝐃𝐮̛𝐨̛𝐧𝐠 𝐀́𝐢 𝐕𝐲', '@HTM Entertainment', '#htmentertainment']","{'title': 'MUỐN CUA ANH LÀM BỒ - 𝐃𝐮̛𝐨̛𝐧𝐠 𝐀́𝐢 𝐕𝐲', 'link': '/music/MUỐN-CUA-ANH-LÀM-BỒ-7523568717758778129'}","{'likes': '117.4K', 'comments': '1353', 'shares': '1451'}",https://www.tiktok.com/@duongaivy07/video/7529884767710498066
"{'username': 'tra.dang.904', 'nickname': '☘️Trà Đặng☘️'}",,Biển và 5 EBé 🌸🌊,"['#tradang', '#tiktokdance']","{'title': 'nhạc nền  - 𝗡𝗧𝗣 𝗩𝗜𝗡𝗔𝗛𝗢𝗨𝗦𝗘', 'link': '/music/nhạc-nền-𝗡𝗧𝗣-𝗩𝗜𝗡𝗔𝗛𝗢𝗨𝗦𝗘-7514309988102523649'}","{'likes': '204.4K', 'comments': '1671', 'shares': '7842'}",https://www.tiktok.com/@tra.dang.904/video/7527616472659545352
"{'username': 'vang.thi.xoa0', 'nickname': 'Thị xoa .'}",,tiktok,"['#nhảy', '#2010', '#xhhhhhhhhhhhhhhhhhhhhhhh']","{'title': 'nhạc nền  - 𝒬𝓊ỳ𝓃𝒽  𝑔𝒾𝒶𝑜 🍁', 'link': '/music/nhạc-nền-𝒬𝓊ỳ𝓃𝒽-𝑔𝒾𝒶𝑜-🍁-7523179092804504336'}","{'likes': '39.5K', 'comments': '2860', 'shares': '10.1K'}",https://www.tiktok.com/@vang.thi.xoa0/video/7529060069443423496
"{'username': 'p_shiri', 'nickname': 'Con người'}",,Vẫn là câu: Ai hông ưa mắt thì lướt qua nhé ạ:> hoan hỉ ạ🥰,"['#Connguoi', '#fyp']","{'title': 'sonido original - Dj Anyelo', 'link': '/music/sonido-original-7317428812421352197'}","{'likes': '258.9K', 'comments': '1987', 'shares': '3716'}",https://www.tiktok.com/@p_shiri/video/7527162750452124935
"{'username': None, 'nickname': None}",,,[],"{'title': None, 'link': None}","{'likes': None, 'comments': None, 'shares': None}",https://www.tiktok.com/@hoanglananh31/video/7530122445659884818
"{'username': 'vuphamainhi181111', 'nickname': 'mitt ᰔᩚ'}",,phòng đã:)),[],"{'title': 'nhạc nền  - Quang Thanh ♡♡♡', 'link': '/music/nhạc-nền-Quang-Thanh-♡♡♡-7361394279069125393'}","{'likes': '75.8K', 'comments': '382', 'shares': '3519'}",https://www.tiktok.com/@vuphamainhi181111/video/7529541458160815378
"{'username': 'hngtuyetnhi.accchinh', 'nickname': 'HNgTuyếtNhi? ˚ ☁️ ₊'}",,hội này đủ cháy chưa ạaa🔥🔥,[],"{'title': 'nhạc nền  - Khánh Chi Lê', 'link': '/music/nhạc-nền-Khánh-Chi-Lê-7526808373464533761'}","{'likes': '71.2K', 'comments': '161', 'shares': '1812'}",https://www.tiktok.com/@hngtuyetnhi.accchinh/video/7528381688573922567
"{'username': 'datco_194', 'nickname': 'Đạt Cỏ Cover'}",,Vì Sao Cover Song Ca - Đạt Cỏ & Thu Hường,"['#datco', '#datcocover', '#datco_194']","{'title': 'nhạc nền  - Đạt Cỏ Cover', 'link': '/music/nhạc-nền-Đạt-Cỏ-Cover-7527619001736923920'}","{'likes': '193.5K', 'comments': '1057', 'shares': '3793'}",https://www.tiktok.com/@datco_194/video/7527618977640549639
"{'username': 'kimanhne_36', 'nickname': '𝐊𝐚𝐧𝐡 𝐃𝐚̂𝐮𝐮 🍓'}",,3 ộp paaa =))),"['@𝓚𝓲𝓶 𝓐𝓷𝓱 🇻🇳', '@Sâu Hết Content 🐛', '@Bẹp bẹp', '#kanhdau', '#xuhuong']","{'title': 'nhạc nền - maryy  𖤐 - 𝐒𝐡𝐞𝐫𝐲𝐲 🎻', 'link': '/music/nhạc-nền-maryy-𖤐-7486051269593942800'}","{'likes': '247.4K', 'comments': '1125', 'shares': '5780'}",https://www.tiktok.com/@kimanhne_36/video/7524219645830712583
"{'username': 'linhkit1210', 'nickname': 'Linh kít 1'}",,Robot chạy bằng cơm ạ 😂😘,"['#linhkit', '#hoangdinhan', '#gdsaurieng', '#kemchexam', '#kemchekhuyetdiem']","{'title': 'nhạc nền - Tớ là♡{Hana}🎀 - Tớ là♡{Phương}💗', 'link': '/music/nhạc-nền-Tớ-là♡Hana🎀-7517945558598683409'}","{'likes': '37K', 'comments': '334', 'shares': '265'}",https://www.tiktok.com/@linhkit1210/video/7527970207692819719
"{'username': 'kamizu_ethenal', 'nickname': 'Thích ăn bún'}",,"""xung quanh tôi toàn là nước ê"" bão Wipha",['#bãowipha'],"{'title': 'nhạc nền  - Chàng Chồng Ngố', 'link': '/music/nhạc-nền-Chàng-Chồng-Ngố-7525050286684359440'}","{'likes': '74.8K', 'comments': '2326', 'shares': '12K'}",https://www.tiktok.com/@kamizu_ethenal/video/7529860780469161223
"{'username': 'lanmeo888', 'nickname': 'Lanmeo888@'}",,Cũng là trend và sao nó lạ vậy..???,['@by êu'],"{'title': 'nhạc nền - Tớ là♡{Hana}🎀 - Tớ là♡{Phương}💗', 'link': '/music/nhạc-nền-Tớ-là♡Hana🎀-7517945558598683409'}","{'likes': '166K', 'comments': '525', 'shares': '4305'}",https://www.tiktok.com/@lanmeo888/video/7527545914844663058
"{'username': 'ntrnhan01', 'nickname': 'Nguyễn Trọng Nhân'}",,áo cam wa mupsss,[],"{'title': 'nhạc nền  - Bin Yet quãi đạn 📸', 'link': '/music/nhạc-nền-Bin-Yet-quãi-đạn-📸-7518000305552804625'}","{'likes': '82.7K', 'comments': '234', 'shares': '3767'}",https://www.tiktok.com/@ntrnhan01/video/7528043078976802068
"{'username': 'hoanglananh31', 'nickname': 'Hoàng Lan Anh'}",,dc:,['@Thương Hoàng'],"{'title': 'nhạc nền  - pesann83', 'link': '/music/nhạc-nền-pesann83-7521229937227860737'}","{'likes': '368.2K', 'comments': '2902', 'shares': '6501'}",https://www.tiktok.com/@hoanglananh31/video/7527898116192881938
"{'username': 'kimanhne_36', 'nickname': '𝐊𝐚𝐧𝐡 𝐃𝐚̂𝐮𝐮 🍓'}",,Phú Mỹ và Lê Minh chung khung hình :)),"['@𝓚𝓲𝓶 𝓐𝓷𝓱 🇻🇳', '#xuhuong', '#kanhdau']","{'title': 'nhạc nền  - *ੈ✩‧₊˚\u2002lin♡\u2002⋆｡˚ ༘\u2002*', 'link': '/music/nhạc-nền-ੈ✩‧₊˚-lin♡-⋆｡˚-༘-7517503104842844944'}","{'likes': '171.1K', 'comments': '718', 'shares': '3943'}",https://www.tiktok.com/@kimanhne_36/video/7530532078442646792
"{'username': 'khanhlinhtran02', 'nickname': 'Khánh Linh FF 🎀'}",,Lâu lắm mới mặc váy 🌚,['#khanhlinhff'],"{'title': 'សំឡេងដើម  - NAY DET_នាយដេត-007™TR', 'link': '/music/សំឡេងដើម-NAY-DETនាយដេត-007™TR-7494198327404448529'}","{'likes': '110.4K', 'comments': '1396', 'shares': '2402'}",https://www.tiktok.com/@khanhlinhtran02/video/7527650880422726919
"{'username': 'congchua1999x', 'nickname': 'Công chúa ❤️'}",,Nhạc này dể thưn quá 🥰,['#congchua❤️'],"{'title': 'nhạc nền - Tớ là♡{Hana}🎀 - Tớ là♡{Phương}💗', 'link': '/music/nhạc-nền-Tớ-là♡Hana🎀-7517945558598683409'}","{'likes': '170.3K', 'comments': '4491', 'shares': '108.2K'}",https://www.tiktok.com/@congchua1999x/video/7523067720653409543
"{'username': 'bep_ha120', 'nickname': 'bep ha 🎀'}",,Tự nhiên nhạc này lại nhớ đến chị áo đen:))|dc:,"['#bepha', '#kittyteam🎀']","{'title': 'nhạc nền  - 𝒬𝓊ỳ𝓃𝒽  𝑔𝒾𝒶𝑜 🍁', 'link': '/music/nhạc-nền-𝒬𝓊ỳ𝓃𝒽-𝑔𝒾𝒶𝑜-🍁-7523179092804504336'}","{'likes': '126.6K', 'comments': '1206', 'shares': '3163'}",https://www.tiktok.com/@bep_ha120/video/7527217413499260168
"{'username': 'sau2_004', 'nickname': 'Sâu Hết Content 🐛'}",,nhìn gì,['@𝑯𝒊𝒆̂́𝒖 𝑳𝒆̂'],"{'title': 'nhạc nền  - 🔮Tiểu Vyy🔮', 'link': '/music/nhạc-nền-🔮Tiểu-Vyy🔮-7513934317828016913'}","{'likes': '662.2K', 'comments': '2663', 'shares': '14.2K'}",https://www.tiktok.com/@sau2_004/video/7521952973602213128
"{'username': 'hoangtramyviral', 'nickname': 'Hoàng Trà My Viral'}",,Nhạc này Cuốn Quá,[],"{'title': 'nhạc nền  - Hoàng Trà My Viral', 'link': '/music/nhạc-nền-Hoàng-Trà-My-Viral-7526907170433354497'}","{'likes': '66K', 'comments': '1846', 'shares': '2477'}",https://www.tiktok.com/@hoangtramyviral/video/7526907145112030471
"{'username': 'banhtrangchinhchutpdai', 'nickname': 'Đ.A.N'}",,Hổng thưn hoa tiếc ngọc dì hết chơn😩,[],"{'title': 'nhạc nền  - Đ.A.N', 'link': '/music/nhạc-nền-ĐAN-7528711473527376641'}","{'likes': '29.1K', 'comments': '494', 'shares': '415'}",https://www.tiktok.com/@banhtrangchinhchutpdai/video/7528711444611878162
"{'username': 'lehuyvietanh08', 'nickname': 'Việt Anh'}",,thầy chấm hộ e ạ😁😁😁,['@Bin Yet quãi đạn 📸'],"{'title': 'nhạc nền  - Việt Anh', 'link': '/music/nhạc-nền-Việt-Anh-7527563000909187841'}","{'likes': '126.4K', 'comments': '1192', 'shares': '7509'}",https://www.tiktok.com/@lehuyvietanh08/video/7527562977587793159
"{'username': 'deohaws', 'nickname': 'deohaws'}",,nyanyi lagi anomali versi boneka,"['#deohaws', '#anomali', '#brainrot']","{'title': 'suara asli  - deohaws', 'link': '/music/suara-asli-deohaws-7528632038335613701'}","{'likes': '183K', 'comments': '5336', 'shares': '63.2K'}",https://www.tiktok.com/@deohaws/video/7528632055207415096
"{'username': 'cahebietnhayy', 'nickname': 'Cá hề biết nhảy \U0001fa75'}",,Mặt mộc nhaa :)))),['@BANDARSAYA'],"{'title': 'nhạc nền - Tớ là♡{Hana}🎀 - Tớ là♡{Phương}💗', 'link': '/music/nhạc-nền-Tớ-là♡Hana🎀-7517945558598683409'}","{'likes': '185.7K', 'comments': '3109', 'shares': '4599'}",https://www.tiktok.com/@cahebietnhayy/video/7522068703303830804
"{'username': 'anhthoidai', 'nickname': 'Anh Thời Đại'}",,,"['#anhthoidaivlog', '#anhthoidaitv', '#xuhuongtiktok']","{'title': 'nhạc nền  - Bánh Bao 🎀', 'link': '/music/nhạc-nền-Bánh-Bao-🎀-7516163537669131024'}","{'likes': '33.9K', 'comments': '574', 'shares': '349'}",https://www.tiktok.com/@anhthoidai/video/7528240259952299272
