author,time_published,description,hashtags,music,engagement,video_url
"{'username': 'seishirowrr', 'nickname': '𝐒𝐡𝐢𝐫𝐨𝐨'}",,SICKKK!!,"['#killerpeter', '#manhwaedit', '#manhwareccomendation']","{'title': 'QUIERES GOSTOSA - ZETREX & SCHWVFTY', 'link': '/music/QUIERES-GOSTOSA-7520047082218489872?lang=eng'}","{'likes': '707.6K', 'comments': '1670', 'shares': '10.5K'}",https://www.tiktok.com/@seishirowrr/video/7528432329287601464
"{'username': 'that201025', 'nickname': 'T H Ấ T 🍂🔥'}",,lại ét ò ét đây,[],"{'title': 'nhạc nền  - T H Ấ T 🍂🔥', 'link': '/music/nhạc-nền-T-H-Ấ-T-🍂🔥-7527612403551456016?lang=eng'}","{'likes': '332.4K', 'comments': '12K', 'shares': '480.2K'}",https://www.tiktok.com/@that201025/video/7527612386073709832
"{'username': 'tu.anh.tr', 'nickname': 'Tú Anh Tr'}",,Có thể cười đến cuối đời 🤣🤣🤣,['#bão'],"{'title': 'Trời hoá cơn mưa . voi Bản Đôn - Nguyễn Minh Đức', 'link': '/music/Trời-hoá-cơn-mưa-voi-Bản-Đôn-7299165283527625473?lang=eng'}","{'likes': '624.4K', 'comments': '22.5K', 'shares': '478.1K'}",https://www.tiktok.com/@tu.anh.tr/video/7528721367395585298
"{'username': 'tunvabong', 'nickname': 'Tún và Bống đây!'}",,Xin lỗi được chưa?,['#tunvabong'],"{'title': 'nhạc nền  - Bin Yet quãi đạn 📸', 'link': '/music/nhạc-nền-Bin-Yet-quãi-đạn-📸-7518000305552804625?lang=eng'}","{'likes': '685.7K', 'comments': '8721', 'shares': '213.4K'}",https://www.tiktok.com/@tunvabong/video/7528075024377449746
"{'username': 'agrobarbara', 'nickname': 'agrobarbara'}",,Parte 2 da brincadeira do prego,"['#família', '#desafiodoprego', '#fyp']","{'title': 'som original - melhorrisada', 'link': '/music/som-original-7426882763057744646?lang=eng'}","{'likes': '2.8M', 'comments': '17.3K', 'shares': '99.2K'}",https://www.tiktok.com/@agrobarbara/video/7527086579177901368
"{'username': 'cecepjiaa', 'nickname': 'Cecepjia.vid'}",,Broo aura farming☠️🌊,"['#tiktoktrending', '#viraltiktok', '#aurafarming', '#indonesianboatracing', '#pacujalur', '#budaya', '#fyp']","{'title': 'original sound - 𝖍𝖆𝖑𝖑𝖔𝖜', 'link': '/music/original-sound-7458831105029147397?lang=eng'}","{'likes': '11.4M', 'comments': '22.1K', 'shares': '613.2K'}",https://www.tiktok.com/@cecepjiaa/video/7522841069621431608
"{'username': 'dvolchenko08', 'nickname': 'Даша'}",,Мавпа сама сказала тягнути за хвоста❗️❗️❗️. Діти не винні. По закривайте свої злі роти 👄,[],"{'title': 'Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧', 'link': '/music/Jet2-Advert-7398162320411429664?lang=eng'}","{'likes': '12.8M', 'comments': '64.6K', 'shares': '3.7M'}",https://www.tiktok.com/@dvolchenko08/video/7527751737021713670
"{'username': 'fiqblink', 'nickname': '₄₀₄ₑᵣᵣₒᵣ'}",,💆🏻‍♂️,[],"{'title': 'Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧', 'link': '/music/Jet2-Advert-7398162320411429664?lang=eng'}","{'likes': '8.2M', 'comments': '53.3K', 'shares': '5.2M'}",https://www.tiktok.com/@fiqblink/video/7526917304177741063
"{'username': 'lensa.rams', 'nickname': 'Lensa Rams'}",,RITUAL SANG PAWANG,"['#indonesia', '#tiktok', '#viral', '#fypシ', '#fyp', '#pacujalur', '#tradisi', '@SANGSAKA KUANSING I SK SPORT']","{'title': 'suara asli  - Amii15❤️\u200d🔥❤️\u200d🔥', 'link': '/music/suara-asli-Amii15❤️\u200d🔥❤️\u200d🔥-7439530267043531576?lang=eng'}","{'likes': '3.3M', 'comments': '13.7K', 'shares': '32.4K'}",https://www.tiktok.com/@lensa.rams/video/7516546879522458888
"{'username': 'strawb1017', 'nickname': 'Ab 🩺🩺'}",,amppp 😐😐😂😂,"['#fyp', '#foryoupagee', '#enchantedkingdom']","{'title': 'Jet2 Advert - ✈️A7-BBH | MAN 🇬🇧', 'link': '/music/Jet2-Advert-7398162320411429664?lang=eng'}","{'likes': '8.6M', 'comments': '19.1K', 'shares': '404.9K'}",https://www.tiktok.com/@strawb1017/video/7527461232580775175
