index,display,slug
0,All,all
1,Singing & Dancing,singing-and-dancing
2,Comedy,comedy
3,Sports,sports
4,Anime & Comics,anime-and-comics
5,Relationship,relationship
6,Shows,shows
7,Lipsync,lipsync
8,Daily Life,daily-life
9,Beauty Care,beauty-care
10,Games,games
11,Society,society
12,Outfit,outfit
13,Cars,cars
14,Food,food
15,Animals,animals
16,Family,family
17,Drama,drama
18,Fitness & Health,fitness-and-health
19,Education,education
20,Technology,technology
